,CPU Usage,Memory Usage (GB),GPU Usage (GB)
655,13.2,8.2228,0.418
656,15.6,8.2523,0.418
657,16.0,8.2461,0.418
658,13.2,8.2182,0.418
659,18.4,8.2096,0.418
660,13.0,8.2079,0.418
661,18.2,8.239,0.418
662,13.3,8.145,0.418
663,14.1,8.1374,0.418
664,17.1,8.1485,0.418
665,13.3,8.1486,0.418
666,18.2,8.1121,0.418
667,13.1,8.124,0.418
668,18.2,8.1216,0.418
669,13.2,8.134,0.418
670,13.5,8.1148,0.418
671,17.9,8.1308,0.418
672,13.1,8.1305,0.418
673,18.3,8.1378,0.418
674,13.1,8.1505,0.418
675,17.6,8.2631,0.418
676,14.0,8.2402,0.418
677,13.2,8.2486,0.418
678,18.3,8.2171,0.418
679,13.1,8.218,0.418
680,18.0,8.2349,0.418
681,13.1,8.2257,0.418
682,16.6,8.228,0.418
683,14.7,8.213,0.418
684,13.0,8.2187,0.418
685,18.1,8.2338,0.418
686,13.0,8.2232,0.418
687,18.1,8.2284,0.418
688,13.2,8.2305,0.418
689,15.7,8.2409,0.418
690,15.7,8.2184,0.418
691,13.1,8.2076,0.418
692,18.2,8.2153,0.418
693,13.0,8.216,0.418
694,18.4,8.204,0.418
695,13.2,8.2087,0.418
696,14.6,8.2266,0.418
697,16.8,8.2158,0.418
698,13.1,8.2167,0.418
699,18.1,8.2413,0.418
700,13.2,8.212,0.418
701,18.4,8.2248,0.418
702,13.1,8.2173,0.418
703,13.5,8.2213,0.418
704,17.7,8.2196,0.418
705,13.1,8.2046,0.418
706,18.3,8.2381,0.418
707,13.1,8.2298,0.418
708,17.4,8.2334,0.418
709,13.7,8.2241,0.418
710,13.0,8.2208,0.418
711,18.1,8.2233,0.418
712,13.1,8.2189,0.418
713,18.5,8.2215,0.418
714,13.0,8.233,0.418
715,16.5,8.2473,0.418
716,15.0,8.2247,0.418
717,13.1,8.2378,0.418
718,18.5,8.223,0.418
719,13.0,8.2367,0.418
720,18.1,8.224,0.418
721,13.2,8.2136,0.418
722,15.4,8.2437,0.418
723,15.6,8.2168,0.418
724,13.2,8.2352,0.418
725,18.0,8.225,0.418
726,13.1,8.2244,0.418
727,18.1,8.2122,0.418
728,13.0,8.2114,0.418
729,14.9,8.2271,0.418
730,16.4,8.2274,0.418
731,13.2,8.2283,0.418
732,18.5,8.2443,0.418
733,13.1,8.233,0.418
734,18.4,8.2352,0.418
735,13.1,8.2375,0.418
736,14.1,8.2382,0.418
737,17.5,8.2473,0.418
738,13.2,8.2492,0.418
739,18.3,8.2253,0.418
740,13.1,8.2203,0.418
741,17.9,8.2391,0.418
742,13.7,8.2415,0.418
743,13.1,8.2558,0.418
744,18.1,8.2399,0.418
745,13.2,8.2305,0.418
746,18.2,8.206,0.418
747,13.1,8.2185,0.418
748,17.0,8.2589,0.418
749,14.6,8.2355,0.418
750,13.1,8.2165,0.418
751,18.1,8.2503,0.418
752,13.1,8.2266,0.418
753,18.4,8.2354,0.418
754,13.2,8.2166,0.418
755,15.7,8.2552,0.418
756,15.5,8.2298,0.418
757,13.1,8.2294,0.418
758,18.5,8.2322,0.418
759,13.0,8.2313,0.418
760,18.5,8.2251,0.418
761,13.1,8.2082,0.418
762,14.4,8.2462,0.418
763,16.9,8.225,0.418
764,13.1,8.2378,0.418
765,18.2,8.252,0.418
766,13.2,8.2319,0.418
767,18.0,8.2496,0.418
768,13.2,8.25,0.418
769,13.6,8.2413,0.418
770,17.5,8.2534,0.418
771,13.1,8.2579,0.418
772,18.4,8.2445,0.418
773,13.1,8.2246,0.418
774,17.9,8.24,0.418
775,13.6,8.2431,0.418
776,13.1,8.2322,0.418
777,18.4,8.2639,0.418
778,13.3,8.2663,0.418
779,18.2,8.2402,0.418
780,13.2,8.2218,0.418
781,16.6,8.2524,0.418
782,14.6,8.2417,0.418
783,13.1,8.2309,0.418
784,18.4,8.2182,0.418
785,13.0,8.2081,0.418
786,18.5,8.2156,0.418
787,13.2,8.2156,0.418
788,15.5,8.2359,0.418
789,15.8,8.2449,0.418
790,13.2,8.2511,0.418
791,18.2,8.228,0.418
792,13.0,8.2304,0.418
793,18.1,8.235,0.418
794,13.1,8.2376,0.418
795,14.7,8.2494,0.418
796,16.9,8.2394,0.418
797,13.1,8.2414,0.418
798,18.4,8.2057,0.418
799,13.1,8.2081,0.418
800,18.3,8.2467,0.418
801,13.1,8.242,0.418
802,13.8,8.2351,0.418
803,17.8,8.1445,0.418
804,13.2,8.1294,0.418
805,18.3,8.1253,0.418
806,13.1,8.1264,0.418
807,17.8,8.1629,0.418
808,13.7,8.1373,0.418
809,13.2,8.1378,0.418
810,18.3,8.1392,0.418
811,13.2,8.1283,0.418
812,18.3,8.1374,0.418
813,13.2,8.1308,0.418
814,16.9,8.1608,0.418
815,14.8,8.1161,0.418
816,13.3,8.2104,0.418
817,18.4,8.2303,0.418
818,13.1,8.2201,0.418
819,18.1,8.2441,0.418
820,13.3,8.2441,0.418
821,15.7,8.2639,0.418
822,15.6,8.2359,0.418
823,13.1,8.2387,0.418
824,18.3,8.2399,0.418
825,13.1,8.2427,0.418
826,18.3,8.2303,0.418
827,13.0,8.229,0.418
828,14.8,8.2484,0.418
829,16.3,8.2311,0.418
830,13.0,8.2262,0.418
831,18.0,8.2535,0.418
832,13.1,8.2635,0.418
833,18.3,8.2484,0.418
834,13.1,8.2606,0.418
835,14.3,8.2365,0.418
836,17.7,8.2289,0.418
837,13.2,8.2282,0.418
838,18.4,8.2569,0.418
839,13.1,8.2439,0.418
840,17.7,8.254,0.418
841,13.7,8.2278,0.418
842,13.1,8.228,0.418
843,18.1,8.2606,0.418
844,13.2,8.2528,0.418
845,18.1,8.2289,0.418
846,13.0,8.2294,0.418
847,16.7,8.2316,0.418
848,14.7,8.2222,0.418
849,13.1,8.2198,0.418
850,18.3,8.2121,0.418
851,13.1,8.2215,0.418
852,18.2,8.228,0.418
853,13.2,8.2202,0.418
854,15.9,8.2432,0.418
855,15.8,8.2226,0.418
856,13.2,8.2345,0.418
857,18.2,8.2475,0.418
858,13.2,8.2355,0.418
859,18.5,8.2349,0.418
860,13.1,8.2311,0.418
861,14.5,8.2544,0.418
862,16.9,8.2053,0.418
863,13.0,8.2208,0.418
864,18.4,8.2351,0.418
865,13.2,8.2204,0.418
866,18.3,8.2392,0.418
867,13.0,8.228,0.418
868,13.5,8.2358,0.418
869,17.9,8.2549,0.418
870,13.1,8.2203,0.418
871,18.2,8.2184,0.418
872,13.0,8.2072,0.418
873,17.6,8.2513,0.418
874,13.9,8.2345,0.418
875,13.1,8.2349,0.418
876,18.4,8.2269,0.418
877,13.1,8.2304,0.418
878,18.5,8.2405,0.418
879,13.1,8.2211,0.418
880,16.5,8.2328,0.418
881,15.2,8.2249,0.418
882,13.0,8.2241,0.418
883,18.2,8.2239,0.418
884,13.1,8.2164,0.418
885,18.2,8.2328,0.418
886,13.2,8.2135,0.418
887,15.5,8.2352,0.418
888,15.9,8.2199,0.418
889,13.1,8.2206,0.418
890,18.2,8.2213,0.418
891,13.1,8.2087,0.418
892,18.3,8.2263,0.418
893,13.0,8.2277,0.418
894,14.7,8.258,0.418
895,16.7,8.2509,0.418
896,13.2,8.2296,0.418
897,18.5,8.232,0.418
898,13.2,8.2303,0.418
899,18.2,8.2431,0.418
900,13.2,8.2099,0.418
901,13.1,8.2104,0.418
902,18.2,8.219,0.418
903,13.1,8.2184,0.418
904,18.4,8.2357,0.418
905,13.0,8.2371,0.418
906,16.9,8.243,0.418
907,14.6,8.2306,0.418
908,13.1,8.2311,0.418
909,18.3,8.2157,0.418
910,13.2,8.2185,0.418
911,18.5,8.2469,0.418
912,13.2,8.238,0.418
913,15.9,8.2407,0.418
914,15.6,8.223,0.418
915,12.9,8.2191,0.418
916,18.5,8.2214,0.418
917,13.0,8.2125,0.418
918,18.5,8.2493,0.418
919,13.1,8.2605,0.418
920,14.4,8.2395,0.418
921,17.0,8.2205,0.418
922,13.2,8.2265,0.418
923,18.3,8.2363,0.418
924,13.1,8.249,0.418
925,18.4,8.2218,0.418
926,13.1,8.2078,0.418
927,13.3,8.2237,0.418
928,18.2,8.2461,0.418
929,13.0,8.247,0.418
